nct_id,title,drug_name,termination_date,termination_reason
NCT05196035,"A Study to Learn More About How Well the Study Treatment Finerenone Works, How Safe it is, How it Moves Into, Through, and Out of the Body, and the Effects it Has on the Body When Taken With an ACE Inhibitor or Angiotensin Receptor Blocker in Children With Chronic Kidney Disease and Proteinuria","Finerenone (Kerendia, BAY94-8862)",2027-06-30,Reason not provided
NCT01909830,Gemcitabine in Combination With Pemetrexed Long Term Infusion in the Treatment of Pretreated Metastatic Colorectal Cancer Patients,Arm A : Gemcitabine + Pemetrexed,2014-03,Reason not provided
NCT00150163,"Odense Androgen Study: Study of Androgens, Body Composition, and Muscle Function in Danish Men",Unknown Drug,2008-12,Reason not provided
NCT01379521,Safety and Efficacy of RAD001 + TACE in Localized Unresectable HCC,everolimus,2015-06,The study was terminated due to low enrollment. This resulted in the study being underpowered and inconclusive.
NCT05132634,The Effect of Massage in Preventing Pressure Wound Development,Unknown Drug,2022-11-29,Reason not provided
NCT04599764,High Definition Transcranial Direct Current Stimulation (HD-tDCS) for Early Alzheimer's Disease,Unknown Drug,2025-12-01,Reason not provided
NCT03469609,"Mucous Fistula Refeeding Reduces the Time From Enterostomy Closure to Full Enteral Feeds (""MUC-FIRE"" Trial)",Unknown Drug,2027-12,Reason not provided
NCT06932263,Dose Range Finding Study to Assess Efficacy and Safety of Tozorakimab in Adults With Uncontrolled Asthma on Medium-to-High Dose Inhaled Corticosteroids,Tozorakimab,2028-03-16,Reason not provided
NCT06455449,A Study to Investigate the Efficacy and Safety of Anifrolumab Administered as Subcutaneous Injection and Added to Standard of Care Compared With Placebo Added to Standard of Care in Adult Participants With Idiopathic Inflammatory Myopathies (Polymyositis and Dermatomyositis),Unknown Drug,2028-08-04,Reason not provided
NCT02661048,CyberHeart's Cardiac Arrhythmia Ablation Treatment: Patients With Refractory Ventricular Tachycardia/Fibrillation,Unknown Drug,2023-07-06,Reason not provided
NCT05757011,the Effect of Pre-sacral Nerve Block on Post-operative Pain Following Laparoscopic Hysterectomy,Unknown Drug,2023-08-10,Reason not provided
NCT01147393,Combination Veltuzumab and Fractionated 90Y- Epratuzumab Radioimmunotherapy in Follicular Lymphoma,90Y-epratuzumab tetraxetan,2015-07-31,closed to enrollment due to slow patient accrual
NCT05880706,A Study of BL-B01D1 and BL-B01D1 in Combination With Osimertinib Mesylate Tablets in Patients With Locally Advanced or Metastatic Non-small Cell Lung Cancer,BL-B01D1,2027-07,Reason not provided
NCT01744951,Adoption-specific Treatment Prevention Pilot Trial,Unknown Drug,2018-12,Reason not provided
NCT03087448,Ceritinib + Trametinib in Patients With Advanced ALK-Positive Non-Small Cell Lung Cancer (NSCLC),Ceritinib,2022-04-30,Low Accrual
NCT02920489,Individualized Timing of Analgesia and Effectiveness of Labor Analgesia,Individualized epidural analgesia,2017-07,Reason not provided
NCT01222078,Investigating Re-Dosing With Otelixizumab in Adults With Newly-Diagnosed Type 1 Diabetes Mellitus,Unknown Drug,2011-05-19,A Phase 3 study recently reported and demonstrated that the dose of otelixizumab in OTX113390 is not effective.
NCT04652518,LYT-100 in Post-acute COVID-19 Respiratory Disease,LYT-100,2022-07-18,Part A of the study was completed; Part B of the study was terminated
NCT04265014,Comparison of Goal-directed and Liberal Fluid Management,Unknown Drug,2020-07-01,we didn't have any patient
NCT02259517,An fMRI Study of Stimulant vs. Non-Stimulant Treatment of ADHD,Guanfacine,2021-11-06,Recruitment/enrollment ended early due to the COVID-19 pandemic
NCT06898125,Evaluation of Extracorporeal Shockwave Therapy and Complex Decongestive Therapy Results in Patients With Lipedema,Unknown Drug,2025-06-01,Reason not provided
NCT00709618,"Lapatinib + Vinorelbine in ErbB2 Overexpressing, First or Second Line Metastatic Breast Cancer Subjects","Lapatinib, Vinorelbine",2012-05,Evolving standard of care practices in this disease setting was limiting enrolment and leading to a delay in delivering this study information to the public.
NCT00804518,Effect of Exercise on Heart Function in Healthy Elderly People,Unknown Drug,2009-08,Reason not provided
NCT05963100,Clinical Study of TCR-like CAR-T Cell Targeted MSLN in the Treatment of Ovarian Cancer,Unknown Drug,2026-05-16,Reason not provided
